,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
67,maraschino cherry,"MannwhitneyuResult(statistic=110.0, pvalue=0.18368115921145795)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=50.5, pvalue=0.088848788920155852)","MannwhitneyuResult(statistic=217.0, pvalue=0.46112216932796257)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
68,yellow e,"MannwhitneyuResult(statistic=64.0, pvalue=0.10621307251122042)","MannwhitneyuResult(statistic=153.5, pvalue=0.28228652515609587)","MannwhitneyuResult(statistic=92.5, pvalue=0.15093028905534833)","MannwhitneyuResult(statistic=117.0, pvalue=0.19810314294775322)","MannwhitneyuResult(statistic=66.0, pvalue=0.10871695146134303)","MannwhitneyuResult(statistic=73.0, pvalue=0.11885379969950505)"
69,mocha,"MannwhitneyuResult(statistic=150.0, pvalue=0.27394757563017036)","MannwhitneyuResult(statistic=151.0, pvalue=0.27596586541603818)","MannwhitneyuResult(statistic=152.5, pvalue=0.28030976155612919)","MannwhitneyuResult(statistic=140.5, pvalue=0.25080173060558653)","MannwhitneyuResult(statistic=218.5, pvalue=0.46553974049932134)","MannwhitneyuResult(statistic=225.5, pvalue=0.48650131479447584)"
70,raspberry g,"MannwhitneyuResult(statistic=224.5, pvalue=0.48352316641704329)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=177.5, pvalue=0.34671481387836428)","MannwhitneyuResult(statistic=156.0, pvalue=0.28924390942785483)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
71,cheesecake,"MannwhitneyuResult(statistic=26.5, pvalue=0.063184120276267894)","MannwhitneyuResult(statistic=57.5, pvalue=0.096985835639232243)","MannwhitneyuResult(statistic=32.5, pvalue=0.069042336830045153)","MannwhitneyuResult(statistic=12.5, pvalue=0.051234936530489196)","MannwhitneyuResult(statistic=113.5, pvalue=0.19047466096511007)","MannwhitneyuResult(statistic=106.5, pvalue=0.17649829231390946)"
72,ethyl maltol,"MannwhitneyuResult(statistic=120.5, pvalue=0.20539487522396188)","MannwhitneyuResult(statistic=69.0, pvalue=0.11269406967330897)","MannwhitneyuResult(statistic=99.5, pvalue=0.16357247920471163)","MannwhitneyuResult(statistic=18.0, pvalue=0.055725863804315073)","MannwhitneyuResult(statistic=76.5, pvalue=0.12416597635452403)","MannwhitneyuResult(statistic=83.5, pvalue=0.13528164695890443)"
73,cream,"MannwhitneyuResult(statistic=4.5, pvalue=0.045148464590300856)","MannwhitneyuResult(statistic=16.5, pvalue=0.053956170717579563)","MannwhitneyuResult(statistic=9.5, pvalue=0.048895277894017229)","MannwhitneyuResult(statistic=2.5, pvalue=0.043811111354389649)","MannwhitneyuResult(statistic=159.5, pvalue=0.29798613677792507)","MannwhitneyuResult(statistic=152.5, pvalue=0.27999863800069125)"
74,jamaican rum,"MannwhitneyuResult(statistic=64.0, pvalue=0.10621307251122042)","MannwhitneyuResult(statistic=110.5, pvalue=0.18409938436902679)","MannwhitneyuResult(statistic=50.5, pvalue=0.088848788920155852)","MannwhitneyuResult(statistic=154.5, pvalue=0.28539881111354404)","MannwhitneyuResult(statistic=148.0, pvalue=0.26871458759562217)","MannwhitneyuResult(statistic=155.0, pvalue=0.28635676677596389)"
75,strawberry ripe,"MannwhitneyuResult(statistic=95.0, pvalue=0.15528023074688552)","MannwhitneyuResult(statistic=125.0, pvalue=0.21457510303512234)","MannwhitneyuResult(statistic=101.5, pvalue=0.16730659873571863)","MannwhitneyuResult(statistic=63.0, pvalue=0.10494998258338495)","MannwhitneyuResult(statistic=148.5, pvalue=0.26996200571630113)","MannwhitneyuResult(statistic=141.5, pvalue=0.25284234812338779)"
76,after dark,"MannwhitneyuResult(statistic=209.5, pvalue=0.43881075413133253)","MannwhitneyuResult(statistic=217.0, pvalue=0.46100944157070689)","MannwhitneyuResult(statistic=225.0, pvalue=0.4850258817184312)","MannwhitneyuResult(statistic=166.0, pvalue=0.31543079482192021)","MannwhitneyuResult(statistic=189.5, pvalue=0.38034156015317161)","MannwhitneyuResult(statistic=182.5, pvalue=0.36046057254720221)"
77,waffle,"MannwhitneyuResult(statistic=13.5, pvalue=0.051950328389813678)","MannwhitneyuResult(statistic=23.5, pvalue=0.059980416044091003)","MannwhitneyuResult(statistic=16.5, pvalue=0.054456287214226823)","MannwhitneyuResult(statistic=7.5, pvalue=0.047406684727834172)","MannwhitneyuResult(statistic=155.5, pvalue=0.28764294116167932)","MannwhitneyuResult(statistic=148.5, pvalue=0.26996200571630113)"
78,graham cracker clear,"MannwhitneyuResult(statistic=197.0, pvalue=0.40211414820821867)","MannwhitneyuResult(statistic=224.0, pvalue=0.48198196885981526)","MannwhitneyuResult(statistic=209.0, pvalue=0.43735366685588972)","MannwhitneyuResult(statistic=154.5, pvalue=0.28539881111354404)","MannwhitneyuResult(statistic=148.0, pvalue=0.26871458759562217)","MannwhitneyuResult(statistic=155.0, pvalue=0.28635676677596389)"
79,apple candy,"MannwhitneyuResult(statistic=64.0, pvalue=0.10621307251122042)","MannwhitneyuResult(statistic=189.5, pvalue=0.38019577167925478)","MannwhitneyuResult(statistic=121.0, pvalue=0.20654795332543918)","MannwhitneyuResult(statistic=93.0, pvalue=0.15183205707233499)","MannwhitneyuResult(statistic=47.0, pvalue=0.084369275105016739)","MannwhitneyuResult(statistic=54.0, pvalue=0.092813931926139848)"
