,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
3,fe lemon,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.702062572938289, pvalue=0.088743639010652575)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
270,tutti frutti,0,0,0,0,0,0
225,coconut ex,0,0,0,0,0,0
374,b custard,0,0,0,0,0,0
399,chocolate hazelnut,0,0,0,0,0,0
65,tfa blueberry extra,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.2109387908790028, pvalue=0.22591886433785779)","RanksumsResult(statistic=1.2409310829131577, pvalue=0.2146312090407505)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
67,maraschino cherry,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.2109387908790028, pvalue=0.22591886433785779)","RanksumsResult(statistic=1.2409310829131577, pvalue=0.2146312090407505)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
250,cinnamon danish,0,0,0,0,0,0
394,fw hazelnut,0,0,0,0,0,0
230,fa marshmallow,0,0,0,0,0,0
