,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
45,citric acid,"RanksumsResult(statistic=-0.27427333281860689, pvalue=0.78387457632922763)","RanksumsResult(statistic=-0.19912995396419406, pvalue=0.84216109053312527)","RanksumsResult(statistic=-0.23294447444867983, pvalue=0.81580452262009628)","RanksumsResult(statistic=-0.47716045572552157, pvalue=0.63324786765132846)","RanksumsResult(statistic=-0.0075143378854412848, pvalue=0.99400448223969551)","RanksumsResult(statistic=0.060114703083530278, pvalue=0.9520642797744242)"
46,fa orange,"RanksumsResult(statistic=1.4502672118901681, pvalue=0.14698401864359506)","RanksumsResult(statistic=0.51848931409544863, pvalue=0.6041169138215583)","RanksumsResult(statistic=1.292466116295901, pvalue=0.19619577284593692)","RanksumsResult(statistic=0.97310675616464637, pvalue=0.33050024654187338)","RanksumsResult(statistic=1.6118254764271556, pvalue=0.10699992266660029)","RanksumsResult(statistic=-1.5592251112290665, pvalue=0.11894310941680074)"
47,fa cheesecake,"RanksumsResult(statistic=0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=0.83784867422670328, pvalue=0.4021156978671776)","RanksumsResult(statistic=0.55981817246537569, pvalue=0.57560346704169074)","RanksumsResult(statistic=-0.18034410925059083, pvalue=0.85688242914079782)","RanksumsResult(statistic=-0.64623305814795051, pvalue=0.51812843338104253)","RanksumsResult(statistic=0.69883342334603948, pvalue=0.48465613812203545)"
48,kentucky bourbon,"RanksumsResult(statistic=1.1910225548424436, pvalue=0.23364473056922463)","RanksumsResult(statistic=-0.086414885682574771, pvalue=0.93113661413138293)","RanksumsResult(statistic=0.42080292158471194, pvalue=0.67389899808155218)","RanksumsResult(statistic=1.1534508654152371, pvalue=0.24872537390917693)","RanksumsResult(statistic=1.4765673944892124, pvalue=0.13979163723922652)","RanksumsResult(statistic=-1.4239670292911235, pvalue=0.15445601655591734)"
49,waffle cap,"RanksumsResult(statistic=-1.2736802715822977, pvalue=0.20277675096880521)","RanksumsResult(statistic=-1.0031641077064115, pvalue=0.31578168749920055)","RanksumsResult(statistic=-1.1684795411861197, pvalue=0.24261338698030432)","RanksumsResult(statistic=-1.3939096777493583, pvalue=0.16334488146992787)","RanksumsResult(statistic=-0.73264794383052523, pvalue=0.46377318139895829)","RanksumsResult(statistic=0.78524830902861431, pvalue=0.43230799631545425)"
50,gummy candy,"RanksumsResult(statistic=0.075143378854412843, pvalue=0.94010063403101307)","RanksumsResult(statistic=-0.19912995396419406, pvalue=0.84216109053312527)","RanksumsResult(statistic=-0.0075143378854412848, pvalue=0.99400448223969551)","RanksumsResult(statistic=0.51473214515272803, pvalue=0.60674020741810386)","RanksumsResult(statistic=0.62369004449162668, pvalue=0.53283116243344486)","RanksumsResult(statistic=-0.5710896792935376, pvalue=0.56793885423288748)"
51,boom,"RanksumsResult(statistic=-1.0783074865608244, pvalue=0.28089655715363515)","RanksumsResult(statistic=-1.1910225548424436, pvalue=0.23364473056922463)","RanksumsResult(statistic=-1.0895789933889863, pvalue=0.2758986406749836)","RanksumsResult(statistic=-0.99940693876369091, pvalue=0.31759759988331471)","RanksumsResult(statistic=0.29681634647493077, pvalue=0.76660672489641046)","RanksumsResult(statistic=-0.24421598127684174, pvalue=0.80706355046362155)"
52,peanut butter v,"RanksumsResult(statistic=-0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=-0.48843196255368349, pvalue=0.62524390684807385)","RanksumsResult(statistic=-0.37947406321478488, pvalue=0.70433586110511537)","RanksumsResult(statistic=0.51473214515272803, pvalue=0.60674020741810386)","RanksumsResult(statistic=0.62369004449162668, pvalue=0.53283116243344486)","RanksumsResult(statistic=-0.5710896792935376, pvalue=0.56793885423288748)"
53,vanilla custard v,"RanksumsResult(statistic=1.6043111385417144, pvalue=0.10864548710877342)","RanksumsResult(statistic=1.6268541521980382, pvalue=0.10376807731288848)","RanksumsResult(statistic=1.6155826453698763, pvalue=0.10618457858940566)","RanksumsResult(statistic=0.51473214515272803, pvalue=0.60674020741810386)","RanksumsResult(statistic=0.62369004449162668, pvalue=0.53283116243344486)","RanksumsResult(statistic=-0.5710896792935376, pvalue=0.56793885423288748)"
54,gingerbread,"RanksumsResult(statistic=0.075143378854412843, pvalue=0.94010063403101307)","RanksumsResult(statistic=-0.7101049301742014, pvalue=0.47763906924447908)","RanksumsResult(statistic=-0.37947406321478488, pvalue=0.70433586110511537)","RanksumsResult(statistic=1.4239670292911235, pvalue=0.15445601655591734)","RanksumsResult(statistic=1.3751238330357551, pvalue=0.16909305669221186)","RanksumsResult(statistic=-1.3225234678376661, pvalue=0.18599390001912186)"
