,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
35,koolad,"MannwhitneyuResult(statistic=10.5, pvalue=0.049608355981524632)","MannwhitneyuResult(statistic=6.5, pvalue=0.046210473203384873)","MannwhitneyuResult(statistic=9.5, pvalue=0.048900198417160035)","MannwhitneyuResult(statistic=40.5, pvalue=0.077496073542003732)","MannwhitneyuResult(statistic=204.5, pvalue=0.42527137313705493)","MannwhitneyuResult(statistic=211.5, pvalue=0.44604238866814072)"
36,e vanilla b,"MannwhitneyuResult(statistic=200.5, pvalue=0.41359130300186753)","MannwhitneyuResult(statistic=179.5, pvalue=0.35297484437464854)","MannwhitneyuResult(statistic=193.5, pvalue=0.39322690171064867)","MannwhitneyuResult(statistic=194.0, pvalue=0.39468901130707335)","MannwhitneyuResult(statistic=177.0, pvalue=0.34616518711865063)","MannwhitneyuResult(statistic=184.0, pvalue=0.36582357512284203)"
37,huckleberry,"MannwhitneyuResult(statistic=217.5, pvalue=0.46400933431740926)","MannwhitneyuResult(statistic=174.0, pvalue=0.33767949086395121)","MannwhitneyuResult(statistic=196.5, pvalue=0.40193495906462601)","MannwhitneyuResult(statistic=100.5, pvalue=0.16585922598596342)","MannwhitneyuResult(statistic=106.5, pvalue=0.17694879388849022)","MannwhitneyuResult(statistic=113.5, pvalue=0.19097840720977666)"
38,koolada,"MannwhitneyuResult(statistic=96.5, pvalue=0.15835468868563818)","MannwhitneyuResult(statistic=83.5, pvalue=0.13529184264795263)","MannwhitneyuResult(statistic=93.5, pvalue=0.15304300346880723)","MannwhitneyuResult(statistic=81.5, pvalue=0.13272202048045301)","MannwhitneyuResult(statistic=213.5, pvalue=0.4520068579667077)","MannwhitneyuResult(statistic=220.5, pvalue=0.47295914860016353)"
39,graham crust,"MannwhitneyuResult(statistic=16.5, pvalue=0.054412781846018402)","MannwhitneyuResult(statistic=56.5, pvalue=0.095842720957624195)","MannwhitneyuResult(statistic=17.0, pvalue=0.054891319046485476)","MannwhitneyuResult(statistic=124.0, pvalue=0.21364548649870907)","MannwhitneyuResult(statistic=48.0, pvalue=0.085640023711185065)","MannwhitneyuResult(statistic=41.0, pvalue=0.077677771169153129)"
40,zen garden,"MannwhitneyuResult(statistic=149.5, pvalue=0.27350340793310429)","MannwhitneyuResult(statistic=170.5, pvalue=0.32808206044780974)","MannwhitneyuResult(statistic=156.5, pvalue=0.29137837401828626)","MannwhitneyuResult(statistic=124.5, pvalue=0.21474486082620348)","MannwhitneyuResult(statistic=214.5, pvalue=0.45499303587117323)","MannwhitneyuResult(statistic=207.5, pvalue=0.43415102406832573)"
41,holiday spice,"MannwhitneyuResult(statistic=37.0, pvalue=0.073640850302917435)","MannwhitneyuResult(statistic=161.0, pvalue=0.3026060623388438)","MannwhitneyuResult(statistic=58.0, pvalue=0.098404313954584266)","MannwhitneyuResult(statistic=100.5, pvalue=0.16585922598596342)","MannwhitneyuResult(statistic=15.5, pvalue=0.05337759147540428)","MannwhitneyuResult(statistic=22.5, pvalue=0.059357400633932723)"
42,brandy,"MannwhitneyuResult(statistic=160.0, pvalue=0.30041384644432056)","MannwhitneyuResult(statistic=223.5, pvalue=0.4819433929600756)","MannwhitneyuResult(statistic=185.5, pvalue=0.37027595435702604)","MannwhitneyuResult(statistic=124.0, pvalue=0.21364548649870907)","MannwhitneyuResult(statistic=102.0, pvalue=0.16828294898148355)","MannwhitneyuResult(statistic=109.0, pvalue=0.18188274070101057)"
43,bubblegum,"MannwhitneyuResult(statistic=114.5, pvalue=0.19331737616256489)","MannwhitneyuResult(statistic=94.5, pvalue=0.15416958793640712)","MannwhitneyuResult(statistic=104.5, pvalue=0.17343216947068252)","MannwhitneyuResult(statistic=159.0, pvalue=0.29789194487951248)","MannwhitneyuResult(statistic=180.5, pvalue=0.35594651281789641)","MannwhitneyuResult(statistic=187.5, pvalue=0.37579040646828304)"
44,grape,"MannwhitneyuResult(statistic=87.5, pvalue=0.14253572590282754)","MannwhitneyuResult(statistic=57.0, pvalue=0.096511346396237652)","MannwhitneyuResult(statistic=75.5, pvalue=0.12324267051594667)","MannwhitneyuResult(statistic=29.0, pvalue=0.065694341231772035)","MannwhitneyuResult(statistic=105.5, pvalue=0.17499909764175964)","MannwhitneyuResult(statistic=112.5, pvalue=0.18893342067932062)"
