,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
96,hard candy,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=96.5, pvalue=0.15757405704460153)","MannwhitneyuResult(statistic=96.5, pvalue=0.15757405704460153)"
10,liquid barn,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=10.5, pvalue=0.049682661744012958)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
40,zen garden,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=45.0, pvalue=0.08242758992945487)","MannwhitneyuResult(statistic=41.0, pvalue=0.077502889460988073)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
359,coconut cream,0,0,0,0,0,0
356,a raspberry,0,0,0,0,0,0
122,grapefruit,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=121.0, pvalue=0.20658019602795691)","MannwhitneyuResult(statistic=122.5, pvalue=0.2093008348800815)","MannwhitneyuResult(statistic=123.0, pvalue=0.21038458131858939)"
398,room temp,0,0,0,0,0,0
364,cara,0,0,0,0,0,0
284,roope,0,0,0,0,0,0
166,vanilla,0,0,0,0,0,0
45,citric acid,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=45.0, pvalue=0.08242758992945487)","MannwhitneyuResult(statistic=45.5, pvalue=0.082536133273659495)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
343,cranberry,0,0,0,0,0,0
413,key l,0,0,0,0,0,0
268,banana,0,0,0,0,0,0
386,tobacco flavour,0,0,0,0,0,0
213,tfa,0,0,0,0,0,0
215,pg m,0,0,0,0,0,0
35,koolad,"MannwhitneyuResult(statistic=44.0, pvalue=0.081151121399878512)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=37.0, pvalue=0.073670898107514801)","MannwhitneyuResult(statistic=36.5, pvalue=0.072705922089258024)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
117,key lime,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=121.0, pvalue=0.20658019602795691)","MannwhitneyuResult(statistic=117.5, pvalue=0.19864516260999632)","MannwhitneyuResult(statistic=118.0, pvalue=0.19969570722751306)"
290,bacon,0,0,0,0,0,0
304,apple,0,0,0,0,0,0
382,key lime pie,0,0,0,0,0,0
